1.00,0.68,0.21,0.45,0.33,0.27,-0.03,-0.27
0.68,1.00,0.68,0.83,0.81,0.71,0.55,0.30
0.21,0.68,1.00,0.86,0.85,0.83,0.66,0.47
0.45,0.83,0.86,1.00,0.97,0.94,0.67,0.53
0.33,0.81,0.85,0.97,1.00,0.97,0.76,0.65
0.27,0.71,0.83,0.94,0.97,1.00,0.82,0.72
-0.03,0.55,0.66,0.67,0.76,0.82,1.00,0.84
-0.27,0.30,0.47,0.53,0.65,0.72,0.84,1.00
