1.00,1.00,0.99,0.99,0.98,0.94,0.93,0.92,0.89,0.89,0.88,0.87
1.00,1.00,0.98,0.98,0.97,0.95,0.94,0.92,0.90,0.89,0.89,0.87
0.99,0.98,1.00,0.99,0.97,0.92,0.89,0.89,0.86,0.84,0.84,0.82
0.99,0.98,0.99,1.00,0.99,0.94,0.91,0.92,0.89,0.88,0.87,0.86
0.98,0.97,0.97,0.99,1.00,0.97,0.95,0.95,0.92,0.91,0.89,0.88
0.94,0.95,0.92,0.94,0.97,1.00,0.99,0.96,0.94,0.93,0.90,0.89
0.93,0.94,0.89,0.91,0.95,0.99,1.00,0.98,0.97,0.97,0.95,0.94
0.92,0.92,0.89,0.92,0.95,0.96,0.98,1.00,0.99,0.99,0.98,0.98
0.89,0.90,0.86,0.89,0.92,0.94,0.97,0.99,1.00,1.00,0.99,0.99
0.89,0.89,0.84,0.88,0.91,0.93,0.97,0.99,1.00,1.00,0.99,0.99
0.88,0.89,0.84,0.87,0.89,0.90,0.95,0.98,0.99,0.99,1.00,0.99
0.87,0.87,0.82,0.86,0.88,0.89,0.94,0.98,0.99,0.99,0.99,1.00
