1.00,0.98,0.96,0.97,0.86,0.65,0.67,0.90,0.94,0.95,0.91,0.83
0.98,1.00,0.98,0.98,0.86,0.76,0.78,0.95,0.91,0.91,0.83,0.75
0.96,0.98,1.00,0.99,0.86,0.80,0.75,0.94,0.88,0.86,0.78,0.66
0.97,0.98,0.99,1.00,0.88,0.79,0.75,0.94,0.90,0.88,0.80,0.72
0.86,0.86,0.86,0.88,1.00,0.80,0.86,0.92,0.80,0.77,0.74,0.71
0.65,0.76,0.80,0.79,0.80,1.00,0.88,0.87,0.58,0.48,0.38,0.28
0.67,0.78,0.75,0.75,0.86,0.88,1.00,0.91,0.67,0.62,0.50,0.44
0.90,0.95,0.94,0.94,0.92,0.87,0.91,1.00,0.88,0.84,0.76,0.65
0.94,0.91,0.88,0.90,0.80,0.58,0.67,0.88,1.00,0.97,0.93,0.83
0.95,0.91,0.86,0.88,0.77,0.48,0.62,0.84,0.97,1.00,0.96,0.88
0.91,0.83,0.78,0.80,0.74,0.38,0.50,0.76,0.93,0.96,1.00,0.92
0.83,0.75,0.66,0.72,0.71,0.28,0.44,0.65,0.83,0.88,0.92,1.00
