P, D, Q, MAPE
0, 0, 0, 20.464% 
0, 0, 1, 14.073% 
0, 0, 2, 12.079% 
0, 1, 0, 9.625% 
1, 0, 0, 9.490% 
1, 1, 1, 8.309% 
8, 1, 0, 7.903% 
