P, D, Q, MAPE
0, 0, 0, 17.287% 
0, 0, 1, 8.730% 
0, 1, 0, 3.887% 
0, 1, 1, 2.968% 
0, 1, 3, 2.360% 
1, 0, 2, 2.074% 
2, 0, 1, 2.037% 
6, 1, 1, 1.812% 
6, 1, 2, 1.386% 
