P, D, Q, MAPE
0, 0, 0, 5.267% 
0, 0, 1, 3.231% 
0, 1, 1, 3.122% 
1, 0, 1, 2.704% 
1, 0, 2, 2.570% 
2, 0, 1, 2.570% 
2, 0, 2, 2.353% 
4, 0, 1, 2.140% 
8, 0, 0, 1.990% 
8, 0, 1, 1.986% 
8, 1, 1, 1.768% 
10, 0, 0, 1.672% 
10, 0, 1, 1.536% 
10, 2, 1, 1.474% 
