P, D, Q, MAPE
0, 0, 0, 4.928% 
0, 0, 1, 3.344% 
1, 0, 1, 3.082% 
1, 0, 2, 2.931% 
1, 1, 3, 2.894% 
2, 0, 0, 2.816% 
2, 1, 2, 2.801% 
4, 1, 1, 2.782% 
8, 1, 1, 2.115% 
10, 0, 0, 2.101% 
