P, D, Q, MAPE
0, 0, 0, 16.041% 
0, 0, 1, 8.670% 
0, 1, 0, 4.480% 
0, 1, 1, 3.662% 
1, 0, 1, 3.509% 
1, 0, 2, 3.438% 
6, 0, 0, 3.326% 
6, 1, 0, 3.188% 
8, 1, 0, 2.660% 
10, 0, 0, 2.050% 
