97,15039.9,16473.0276685287,9.5284864234
98,12432.5,15542.4470247658,25.0148419134
99,12523.3,15878.5448444483,26.7920896211
100,14231.3,17330.977157688,21.7810053135
101,14543.6,19683.4355535639,35.3407608866
102,15314.7,21720.4875262055,41.8277845112
103,19617.5,22984.9391008346,17.1654270875
104,26429.2,23665.7635745188,10.4559416655
105,28152.3,23308.2479383531,17.2066368569
106,26869.6,22217.7077082556,17.3128261076
107,23914.5,20549.6321848595,14.070401375
108,20332.3,18823.9626792069,7.4186463981
