year,month,feedConsumption
2015,January,15039.948
2015,February,12432.481
2015,March,12523.293
2015,April,14231.265
2015,May,14543.612
2015,June,15314.691
2015,July,19617.51
2015,August,26429.183
2015,September,28152.314
2015,October,26869.594
2015,November,23914.498
2015,December,20332.347
