1.00,0.98,0.93,0.91,0.95,0.93,0.84,0.90,0.87,0.89,0.84,0.78
0.98,1.00,0.96,0.95,0.94,0.89,0.77,0.82,0.81,0.82,0.77,0.71
0.93,0.96,1.00,0.98,0.90,0.79,0.63,0.71,0.74,0.72,0.72,0.64
0.91,0.95,0.98,1.00,0.91,0.81,0.66,0.72,0.79,0.74,0.78,0.72
0.95,0.94,0.90,0.91,1.00,0.95,0.86,0.90,0.88,0.85,0.88,0.85
0.93,0.89,0.79,0.81,0.95,1.00,0.97,0.98,0.96,0.96,0.93,0.90
0.84,0.77,0.63,0.66,0.86,0.97,1.00,0.98,0.94,0.95,0.91,0.90
0.90,0.82,0.71,0.72,0.90,0.98,0.98,1.00,0.95,0.96,0.92,0.89
0.87,0.81,0.74,0.79,0.88,0.96,0.94,0.95,1.00,0.98,0.99,0.96
0.89,0.82,0.72,0.74,0.85,0.96,0.95,0.96,0.98,1.00,0.94,0.90
0.84,0.77,0.72,0.78,0.88,0.93,0.91,0.92,0.99,0.94,1.00,0.96
0.78,0.71,0.64,0.72,0.85,0.90,0.90,0.89,0.96,0.90,0.96,1.00
