year,month,feedConsumption
2015,January,12534.708
2015,February,9098.07
2015,March,9381.861
2015,April,9493.93
2015,May,11215.47
2015,June,16370.732
2015,July,21041.845
2015,August,26981.845
2015,September,25229.126
2015,October,27327.632
2015,November,22476.374
2015,December,17239.549
