P, D, Q, MAPE
0, 0, 0, 11.037% 
0, 0, 1, 6.490% 
0, 1, 0, 4.951% 
0, 1, 1, 4.070% 
0, 1, 2, 4.078% 
0, 1, 3, 4.170% 
0, 2, 0, 4.918% 
0, 2, 1, 4.833% 
0, 2, 3, 4.157% 
1, 0, 0, 5.182% 
1, 0, 1, 4.450% 
