P, D, Q, MAPE
0, 0, 0, 31.618% 
0, 0, 1, 18.817% 
0, 1, 0, 16.807% 
0, 1, 1, 12.309% 
0, 2, 0, 10.693% 
0, 2, 1, 10.581% 
0, 2, 2, 9.121% 
0, 2, 3, 8.962% 
1, 0, 0, 15.701% 
1, 0, 1, 11.857% 
1, 0, 2, 10.243% 
1, 0, 3, 8.868% 
1, 1, 0, 10.486% 
1, 2, 0, 10.507% 
2, 0, 0, 8.471% 
2, 0, 1, 8.251% 
2, 0, 2, 7.785% 
2, 1, 0, 10.343% 
2, 2, 0, 9.774% 
4, 0, 0, 7.846% 
4, 1, 0, 7.496% 
4, 2, 0, 8.880% 
6, 1, 0, 7.296% 
6, 2, 0, 9.265% 
8, 2, 0, 8.112% 
