1.00,0.96,0.95,0.97,0.94,0.91,0.93,0.92,0.99,0.97,0.98,0.97
0.96,1.00,0.99,0.96,0.89,0.87,0.90,0.84,0.95,0.96,0.96,0.93
0.95,0.99,1.00,0.97,0.91,0.88,0.90,0.84,0.93,0.95,0.97,0.93
0.97,0.96,0.97,1.00,0.92,0.85,0.86,0.82,0.94,0.94,0.96,0.94
0.94,0.89,0.91,0.92,1.00,0.96,0.94,0.92,0.94,0.89,0.92,0.92
0.91,0.87,0.88,0.85,0.96,1.00,0.98,0.97,0.91,0.87,0.90,0.87
0.93,0.90,0.90,0.86,0.94,0.98,1.00,0.98,0.95,0.93,0.95,0.93
0.92,0.84,0.84,0.82,0.92,0.97,0.98,1.00,0.94,0.89,0.91,0.90
0.99,0.95,0.93,0.94,0.94,0.91,0.95,0.94,1.00,0.98,0.98,0.99
0.97,0.96,0.95,0.94,0.89,0.87,0.93,0.89,0.98,1.00,0.99,0.98
0.98,0.96,0.97,0.96,0.92,0.90,0.95,0.91,0.98,0.99,1.00,0.98
0.97,0.93,0.93,0.94,0.92,0.87,0.93,0.90,0.99,0.98,0.98,1.00
