county,averageTemp,feedConsumption
Finnmark,5.2128134819,6639.80215625
Troms,6.2185416667,11653.7395833333
Nordland,6.8333444959,19106.5340625
Nord-Trondelag,7.322600258,8325.2558020833
Sor-Trondelag,7.5381376237,13634.9684479167
More_og_Romsdal,8.0087820154,11814.51578125
Sogn_og_Fjordane,8.1081250683,8681.2263541667
Hordaland,7.8033025443,16927.3967291667
Rogaland_og_Agder,7.1951075619,8872.5507916667
