97,20077.7,16178.4381400059,19.4209737052
98,15478.6,11811.6088201104,23.6905937978
99,15477.5,9251.1239942769,40.2284584845
100,12938.3,9571.3176602594,26.0236475742
101,15237.5,11685.7902592028,23.3092121149
102,20228.9,15136.2185590453,25.1752198185
103,29049.6,18922.3512090501,34.8618594586
104,37051.1,22044.1546498534,40.5034322774
105,35364.5,24037.4613691336,32.0294041507
106,33985.7,24545.5154653376,27.7769296216
107,28439.4,23736.4796455585,16.5365292787
108,21447.6,22001.5655116037,2.5827218507
