1.00,0.91,0.90,0.82,0.90,0.71,0.42,0.67,0.75,0.34,0.26,0.06
0.91,1.00,0.90,0.80,0.91,0.71,0.52,0.68,0.73,0.56,0.50,0.33
0.90,0.90,1.00,0.95,0.86,0.48,0.23,0.51,0.63,0.24,0.25,0.12
0.82,0.80,0.95,1.00,0.80,0.37,0.07,0.41,0.53,0.16,0.17,0.03
0.90,0.91,0.86,0.80,1.00,0.73,0.54,0.60,0.62,0.33,0.36,0.14
0.71,0.71,0.48,0.37,0.73,1.00,0.91,0.86,0.62,0.49,0.43,0.17
0.42,0.52,0.23,0.07,0.54,0.91,1.00,0.74,0.37,0.48,0.50,0.31
0.67,0.68,0.51,0.41,0.60,0.86,0.74,1.00,0.78,0.62,0.48,0.30
0.75,0.73,0.63,0.53,0.62,0.62,0.37,0.78,1.00,0.69,0.57,0.44
0.34,0.56,0.24,0.16,0.33,0.49,0.48,0.62,0.69,1.00,0.86,0.81
0.26,0.50,0.25,0.17,0.36,0.43,0.50,0.48,0.57,0.86,1.00,0.95
0.06,0.33,0.12,0.03,0.14,0.17,0.31,0.30,0.44,0.81,0.95,1.00
