county,averageSeaTemp,cages,localities,numberSalmon,biomass,feedConsumption,restock,withdrawals,,feedConsumption/biomass,biomass/numberSalmon,cages/localities,numberSalmon/cages,biomass/cages
Finnmark,5.2128134819,257.2395833333,33.8333333333,23004.9275208333,41190.7425644896,6639.80215625,1394.4389583333,4743.5855249167,,0.1611964666,0.5584975188,7.6031403941,89.4299672808,160.1259885075
Troms,6.2185416667,393.3958333333,52.1666666667,38464.1354166667,63632.7932969167,11653.7395833333,2413.3333333333,9228.1995833333,,0.1831404686,0.6044703277,7.5411341853,97.7746385638,161.7525858313
Nordland,6.8333444959,804.5104166667,109.0208333333,58519.7916979167,103314.379333948,19106.5340625,3557.5827395833,15517.8071280729,,0.1849358645,0.5664244617,7.3794190713,72.7396320614,128.4189454774
Nord-Trondelag,7.322600258,231.6875,30.3645833333,25505.74415625,44944.2797279688,8325.2558020833,1577.1152708333,6842.4585635417,,0.1852350478,0.5674970054,7.6301886793,110.0868374697,193.9866403149
Sor-Trondelag,7.5381376237,306.9479166667,51.3645833333,40193.0693020833,73226.089329448,13634.9684479167,2524.1173958333,10907.0307380625,,0.1862036956,0.5488900154,5.9758669641,130.9442648726,238.561936255
More_og_Romsdal,8.0087820154,347.3229166667,59.5729166667,36019.74521875,64501.6091635312,11814.51578125,2288.56515625,9249.2051148333,,0.1831662176,0.5584317304,5.8302150726,103.7067912605,185.7107782653
Sogn_og_Fjordane,8.1081250683,318.9583333333,52.5,26214.6632395833,46594.32428775,8681.2263541667,1666.4193854167,6839.1454921354,,0.1863151035,0.5626149459,6.0753968254,82.1883628674,146.0827933254
Hordaland,7.8033025443,738.8854166667,131.1770833333,50236.3148020834,87925.240480552,16927.3967291667,3210.3581770833,12600.7122534792,,0.1925203347,0.5713526005,5.6327324704,67.9893169752,118.9971252609
Rogaland_og_Agder,7.1951075619,338.53125,53.0416666667,28540.632625,48214.8841462396,8872.5507916667,1852.16825,6432.9381740938,,0.1840209916,0.5919465147,6.3823644933,84.3072319764,142.4237323622
