1.00,0.96,0.95,0.86,0.54,0.82,0.64,0.75,0.84,0.76,0.83,0.80
0.96,1.00,0.94,0.80,0.69,0.85,0.61,0.59,0.77,0.68,0.78,0.76
0.95,0.94,1.00,0.91,0.62,0.87,0.65,0.63,0.77,0.69,0.76,0.72
0.86,0.80,0.91,1.00,0.39,0.74,0.48,0.59,0.55,0.49,0.52,0.45
0.54,0.69,0.62,0.39,1.00,0.83,0.69,0.22,0.49,0.42,0.50,0.49
0.82,0.85,0.87,0.74,0.83,1.00,0.80,0.56,0.66,0.56,0.67,0.60
0.64,0.61,0.65,0.48,0.69,0.80,1.00,0.78,0.79,0.76,0.76,0.71
0.75,0.59,0.63,0.59,0.22,0.56,0.78,1.00,0.84,0.84,0.80,0.75
0.84,0.77,0.77,0.55,0.49,0.66,0.79,0.84,1.00,0.99,0.99,0.98
0.76,0.68,0.69,0.49,0.42,0.56,0.76,0.84,0.99,1.00,0.96,0.96
0.83,0.78,0.76,0.52,0.50,0.67,0.76,0.80,0.99,0.96,1.00,0.99
0.80,0.76,0.72,0.45,0.49,0.60,0.71,0.75,0.98,0.96,0.99,1.00
