1.00,0.85,0.88,0.90,0.86,0.78,0.83,0.79,0.77,0.61,0.69,0.55
0.85,1.00,0.85,0.98,0.93,0.95,0.91,0.89,0.87,0.79,0.85,0.81
0.88,0.85,1.00,0.89,0.94,0.90,0.95,0.92,0.81,0.79,0.84,0.66
0.90,0.98,0.89,1.00,0.96,0.96,0.93,0.92,0.90,0.81,0.86,0.81
0.86,0.93,0.94,0.96,1.00,0.95,0.99,0.98,0.96,0.90,0.94,0.86
0.78,0.95,0.90,0.96,0.95,1.00,0.95,0.95,0.90,0.87,0.90,0.84
0.83,0.91,0.95,0.93,0.99,0.95,1.00,0.99,0.94,0.91,0.94,0.83
0.79,0.89,0.92,0.92,0.98,0.95,0.99,1.00,0.96,0.95,0.96,0.87
0.77,0.87,0.81,0.90,0.96,0.90,0.94,0.96,1.00,0.94,0.96,0.92
0.61,0.79,0.79,0.81,0.90,0.87,0.91,0.95,0.94,1.00,0.98,0.94
0.69,0.85,0.84,0.86,0.94,0.90,0.94,0.96,0.96,0.98,1.00,0.93
0.55,0.81,0.66,0.81,0.86,0.84,0.83,0.87,0.92,0.94,0.93,1.00
