year,month,feedConsumption
2015,January,7571.038
2015,February,4947.371
2015,March,4686.465
2015,April,4263.749
2015,May,5472.568
2015,June,8270.913
2015,July,12356.162
2015,August,15877.981
2015,September,15382.371
2015,October,15039.109
2015,November,11453.453
2015,December,9450.334
