97,15039.9,16199.4564144615,7.7095223574
98,12432.5,14638.1131569984,17.7408807838
99,12523.3,14596.7215724431,16.5565766837
100,14231.3,15673.4192403185,10.1337065082
101,14543.6,17305.9726821716,18.9936332158
102,15314.7,18694.2087399405,22.0671592006
103,19617.5,19996.2830467274,1.930791857
104,26429.2,20583.1147292628,22.1197482085
105,28152.3,20524.8516959365,27.0935548475
106,26869.6,19565.1536856734,27.1847804336
107,23914.5,18086.7575361606,24.3690689192
108,20332.3,16519.2985498952,18.7536096216
