year,month,feedConsumption
2015,January,20077.728
2015,February,15478.575
2015,March,15477.473
2015,April,12938.348
2015,May,15237.541
2015,June,20228.885
2015,July,29049.573
2015,August,37051.137
2015,September,35364.499
2015,October,33985.698
2015,November,28439.363
2015,December,21447.633
